00000001,田中　太郎,9500088,新潟県新潟市中央区万代1-6-1 万代シティビルボードプレイス,0252445121,tanaka.t@example.com,150000,1
00000002,佐藤　花子,9518063,新潟県新潟市中央区古町通7番町988 NEXT21,0252221111,sato.h@example.com,8000,0
00000003,鈴木　次郎,9502076,新潟県新潟市西区新通西2-1-1 イオン新潟西店,0252663333,suzuki.j@example.com,25000,1
00000004,高橋　恵子,9502111,新潟県新潟市西区青山1丁目10-1 青山ショッピングセンター,0252674444,takahashi.k@example.com,0,0
00000005,伊藤　健太,9500916,新潟県新潟市中央区米山3丁目1-1 プラーカ2,0252478888,ito.k@example.com,50000,1
00000006,渡辺　美咲,9500962,新潟県新潟市中央区鳥屋野394-1 新潟県立図書館,0252839999,watanabe.m@example.com,1200,0
00000007,山本　大地,9500086,新潟県新潟市中央区花園1丁目1-1 CoCoLo新潟,0252410000,yamamoto.d@example.com,75000,1
00000008,中村　結衣,9500851,新潟県新潟市東区新石山2-2-1 アピタ新潟亀田店,0252731234,nakamura.y@example.com,300,0
00000009,小林　拓海,9500134,新潟県新潟市江南区亀田新明町1-1-1 イオンモール新潟南,0253825678,kobayashi.t@example.com,200000,1
00000010,加藤　葵,9500169,新潟県新潟市秋葉区新津5000 新津美術館,0250221111,kato.a@example.com,0,0
